keyword,region,timestamp,video_count,avg_views,median_views,pct75_views,max_views,min_views,total_views,decision,reason,base_score,opportunity_score,monetization_type,monetization_potential,monetization_score,monetizable_count,monetizable_ratio,competition_level,saturation_risk,saturation_ratio,is_automatizable,automation_score,automation_signals,small_channels,medium_channels,large_channels,small_channels_ratio,medium_channels_ratio,large_channels_ratio,views_score,competition_score,engagement_score,automation_bonus,monetization_multiplier,automatizable,automatizable_count,riesgo_saturacion,monetizacion,score_refinado
mejores aspiradoras 2025,ES,2025-09-03T00:02:56.072950,20,32652,24455,40434,166260,3,653042,RECOMENDADO,"Mediana 24,455 ≥ 5000 y P75 40,434 ≥ 20000",100.0,0.334,Solo Afiliación,Alto,24,14,70.0,high,🔴 Alto,0.196,True,100.0,26,10,7,3,50.0,35.0,15.0,0.327,0.4,1.0,0.2,1.0,True,5,🔴 Alto,Solo Afiliación,100.0
comida para perros,ES,2025-09-03T00:02:58.202414,20,295038,170365,319177,2057402,4571,5900776,RECOMENDADO,"Mediana 170,366 ≥ 5000 y P75 319,177 ≥ 20000",100.0,0.5,Solo Anuncios,Medio,28,19,95.0,high,🔴 Alto,0.143,False,57.0,19,2,1,17,10.0,5.0,85.0,1.0,0.4,1.0,0.0,0.8,False,5,🔴 Alto,Solo Anuncios,100.0
cocina fácil,ES,2025-09-03T00:03:00.064579,20,5383830,2649064,9326774,20360406,604,107676607,RECOMENDADO,"Mediana 2,649,064 ≥ 5000 y P75 9,326,774 ≥ 20000",100.0,0.54,Solo Anuncios,Medio,28,19,95.0,high,🔴 Alto,0.264,True,89.0,23,0,1,19,0.0,5.0,95.0,1.0,0.4,1.0,0.2,0.8,True,5,🔴 Alto,Solo Anuncios,100.0
